DateTime,open,high,low,close,actual,mid,SD,lower,upper
2025-04-08 10:25:00,2239880,2241135,2239870,2241135,2241.135,2240.244365897999,0.740983304884083,2239.132890940673,2241.3558408553254
2025-04-08 10:26:00,2241015,2241140,2239450,2240370,2240.37,2240.3274210858726,0.8421807678461073,2239.0641499341036,2241.5906922376416
2025-04-08 10:27:00,2240440,2242045,2240440,2241955,2241.955,2240.3270602305515,0.7131011025964205,2239.257408576657,2241.396711884446
2025-04-08 10:28:00,2241955,2242935,2241930,2242280,2242.28,2240.475011742985,1.1336550880189697,2238.7745291109563,2242.1754943750134
2025-04-08 10:29:00,2241755,2242535,2240810,2242535,2242.535,2240.6314982410745,1.3117360138643581,2238.663894220278,2242.599102261871
2025-04-08 10:30:00,2242650,2242685,2241775,2242435,2242.435,2240.7965021041427,1.4044945248464553,2238.689760316873,2242.9032438914123
2025-04-08 10:31:00,2242530,2243260,2242275,2242430,2242.43,2240.936990904923,1.3243369123805149,2238.950485536352,2242.9234962734936
2025-04-08 10:32:00,2242320,2242870,2240275,2240480,2240.48,2241.0655075071904,1.2413989302857091,2239.203409111762,2242.927605902619
2025-04-08 10:33:00,2240385,2240535,2239225,2239225,2239.225,2241.0057561895546,0.9363066487328182,2239.6012962164555,2242.410216162654
2025-04-08 10:34:00,2239270,2239890,2238720,2238980,2238.98,2240.846979593988,1.251154605865862,2238.9702476851894,2242.723711502787
2025-04-08 10:35:00,2238970,2239305,2237510,2237775,2237.775,2240.685411186757,1.371281446215619,2238.6284890174334,2242.7423333560805
2025-04-08 10:36:00,2237740,2238065,2232365,2234005,2234.005,2240.4291668994556,1.8865089971397808,2237.599403403746,2243.2589303951654
2025-04-08 10:37:00,2234050,2234050,2229400,2232780,2232.78,2239.8584446908467,3.8052362882976714,2234.1505902584004,2245.566299123293
2025-04-08 10:38:00,2232785,2232785,2230915,2230915,2230.915,2239.2442839413266,4.549123706132852,2232.420598382127,2246.067969500526
2025-04-08 10:39:00,2231105,2231580,2229870,2231005,2231.005,2238.5186700585464,5.361553635064927,2230.476339605949,2246.561000511144
2025-04-08 10:40:00,2231145,2231165,2228695,2229750,2229.75,2237.872848522697,5.212297110094942,2230.0544028575546,2245.6912941878395
2025-04-08 10:41:00,2229775,2230865,2228720,2230535,2230.535,2237.167606217793,5.449199567570377,2228.9938068664374,2245.3414055691487
2025-04-08 10:42:00,2230500,2231825,2230355,2231010,2231.01,2236.6008106302356,4.849100478781689,2229.327159912063,2243.874461348408
2025-04-08 10:43:00,2230865,2231145,2228105,2229325,2229.325,2236.121633255497,4.188707559602956,2229.8385719160924,2242.4046945949012
2025-04-08 10:44:00,2229245,2229385,2227585,2229085,2229.085,2235.528418656328,4.518142016517528,2228.751205631552,2242.3056316811044
2025-04-08 10:45:00,2228985,2229960,2228765,2229265,2229.265,2234.9731091525696,4.452879224831137,2228.293790315323,2241.6524279898163
2025-04-08 10:46:00,2229210,2230590,2228935,2230380,2230.38,2234.4826877047567,4.100365731252736,2228.3321391078775,2240.633236301636
2025-04-08 10:47:00,2230465,2230570,2228195,2228935,2228.935,2234.1348483247725,3.298184331200432,2229.187571827972,2239.082124821573
2025-04-08 10:48:00,2229055,2230105,2228255,2230105,2230.105,2233.6800466383775,3.501057077547714,2228.4284610220557,2238.9316322546993
2025-04-08 10:49:00,2229995,2230805,2228605,2228970,2228.97,2233.3783405904915,2.858256922642971,2229.090955206527,2237.665725974456
2025-04-08 10:50:00,2228920,2229305,2227290,2229000,2229.0,2232.993114700848,3.000021502076351,2228.4930824477333,2237.4931469539624
2025-04-08 10:51:00,2229230,2230530,2228795,2229995,2229.995,2232.649874686083,2.8555344093677197,2228.3665730720313,2236.9331763001346
2025-04-08 10:52:00,2229750,2231140,2229455,2230325,2230.325,2232.4261040179817,2.251595432803136,2229.048710868777,2235.8034971671864
2025-04-08 10:53:00,2230270,2231070,2229710,2230500,2230.5,2232.24657059571,1.808460693241863,2229.5338795558473,2234.959261635573
2025-04-08 10:54:00,2230615,2231050,2229445,2231050,2231.05,2232.097001080351,1.5085199489798817,2229.8342211568815,2234.359781003821
2025-04-08 10:55:00,2231490,2238435,2231490,2238170,2238.17,2232.0094763292614,1.15979885380662,2230.2697780485514,2233.7491746099713
2025-04-08 10:56:00,2238340,2241175,2237320,2237320,2237.32,2232.5737493163488,3.568757463357061,2227.2206131213134,2237.926885511384
2025-04-08 10:57:00,2237370,2238000,2235455,2235910,2235.91,2232.9763088408804,3.377625344599898,2227.9098708239803,2238.0427468577805
2025-04-08 10:58:00,2235955,2236910,2235305,2235635,2235.635,2233.222394761738,2.5653551021775063,2229.374362108472,2237.0704274150044
2025-04-08 10:59:00,2235575,2237795,2235230,2237795,2237.795,2233.429098198091,2.0466381486434737,2230.359140975126,2236.4990554210563
2025-04-08 11:00:00,2238090,2238305,2237310,2237440,2237.44,2233.8153061672747,2.763590511274612,2229.6699204003626,2237.960691934187
2025-04-08 11:01:00,2237475,2238390,2237475,2237580,2237.58,2234.125017251228,2.6150427660587483,2230.20245310214,2238.047581400316
2025-04-08 11:02:00,2237640,2240025,2237585,2238640,2238.64,2234.42320249572,2.4915478934119277,2230.685880655602,2238.160524335838
2025-04-08 11:03:00,2238595,2240660,2238595,2240425,2240.425,2234.791201917773,2.804122029667789,2230.585018873271,2238.9973849622747
2025-04-08 11:04:00,2240240,2242085,2240215,2240300,2240.3,2235.284410452251,3.5783887326379085,2229.916827353294,2240.651993551208
2025-04-08 11:05:00,2240240,2240635,2238870,2238930,2238.93,2235.7150645344273,3.5018909280622563,2230.462228142334,2240.9679009265205
2025-04-08 11:06:00,2238890,2240520,2238890,2240520,2240.52,2235.9852766377203,2.719640453096833,2231.905815958075,2240.0647373173656
2025-04-08 11:07:00,2240460,2240740,2239190,2240605,2240.605,2236.38359111336,3.019375349097652,2231.8545280897138,2240.9126541370065
