,arima_forecast,garch_forecast
373,-1.264845071549155e+79,4.740719148358037e+78
374,-2.0459318274505947e+79,7.66828160128009e+78
375,-3.309367397422521e+79,1.240371784877769e+79
376,-5.353019306009881e+79,2.0063454170280233e+79
377,-8.658698853693948e+79,3.2453349725510184e+79
378,-1.400575293176843e+80,5.2494445845042726e+79
379,-2.2654802817406487e+80,8.491163062936496e+79
380,-3.664494820063664e+80,1.373475783975454e+80
381,-5.927450525394032e+80,2.2216458630987626e+80
382,-9.587861753447253e+80,3.593591091018504e+80
383,-1.5508706923725139e+81,5.812761225335522e+80
384,-2.508588428066588e+81,9.402347737117692e+80
385,-4.057730881355797e+81,1.520863141330553e+81
386,-6.563523821322291e+81,2.4600501484610055e+81
387,-1.061673290138725e+82,3.979218490132159e+81
388,-1.717294254851823e+82,6.436527239948926e+81
389,-2.777784451336936e+82,1.0411311420406216e+82
390,-4.493165010183434e+82,1.6840666006960153e+82
391,-7.26785399026193e+82,2.7240375405744773e+82
392,-1.1756011965741229e+83,4.4062274730656424e+82
393,-1.9015766899531528e+83,7.127229436164083e+82
394,-3.0758678353771107e+83,1.1528546754845911e+83
395,-4.975325471065043e+83,1.8647833841897437e+83
396,-8.047765660904506e+83,3.0163533564960864e+83
397,-1.3017546793570773e+84,4.879058687665482e+83
398,-2.1056344290193845e+84,7.892050719593767e+83
399,-3.4059384759512025e+84,1.2765672345384758e+84
400,-5.509226455499795e+84,2.064892842428533e+84
401,-8.911369466091816e+84,3.34003751259846e+84
402,-1.441445662156744e+85,5.402629306634839e+84
403,-2.3315895551817158e+85,8.73894479173135e+84
404,-3.7714289178951526e+85,1.4135553586684427e+85
405,-6.1004202266754705e+85,2.2864759986936597e+85
406,-9.867646388732971e+85,3.698456137951948e+85
407,-1.5961268508569377e+86,5.9823841633017206e+85
408,-2.5817918718037946e+86,9.676718863872117e+85
409,-4.1761400516089616e+86,1.565243645582575e+86
410,-6.755054859812448e+86,2.531837190376194e+86
411,-1.0926541158861612e+87,4.0953365801310627e+86
412,-1.7674068408618617e+87,6.624352374754217e+86
413,-2.8588433390853155e+87,1.0715125247045626e+87
414,-4.6242806401309304e+87,1.7332095662277404e+87
415,-7.479938178610204e+87,2.803528032760624e+87
416,-1.2099065673108975e+88,4.534806167485632e+87
417,-1.9570668455631963e+88,7.335210041190838e+87
418,-3.165625132951688e+88,1.1864962770441803e+88
419,-5.12051108785277e+88,1.9191998695802236e+88
420,-8.282608552698557e+88,3.1043739543563645e+88
421,-1.3397413512095843e+89,5.021435130981982e+88
422,-2.1670792199349853e+89,8.1223496735231e+88
423,-3.5053276076266777e+89,1.313818908302403e+89
424,-5.66999190604504e+89,2.1251487478305116e+89
425,-9.171413292346444e+89,3.4375035797293304e+89
426,-1.4835086746658376e+90,5.560284131976612e+89
427,-2.3996279718910483e+90,8.993957071237523e+89
428,-3.881483473481536e+90,1.4548045006201436e+90
429,-6.27843737920652e+90,2.3531979508697074e+90
430,-1.0155595455688122e+91,3.806381265398125e+90
431,-1.6427036351619673e+91,6.15695689018388e+90
432,-2.657131474711247e+91,9.95909645000257e+90
433,-4.298004535191175e+91,1.610919223075665e+91
434,-6.952174990336663e+91,2.6057190592566602e+91
435,-1.1245389971212012e+92,4.21484312714946e+91
436,-1.818981768732951e+92,6.81765845913829e+91
437,-2.942267616732769e+92,1.1027804704298706e+92
438,-4.759222372253075e+92,1.7837865789997896e+92
439,-7.698211223119813e+92,2.8853381472918635e+92
440,-1.2452130075130795e+93,4.667136933436154e+92
441,-2.0141762665890886e+93,7.54925975518268e+92
442,-3.258001649848768e+93,1.221119578534871e+93
443,-5.269933384922944e+93,1.9752042894768534e+93
444,-8.524304425326042e+93,3.1949630926799113e+93
445,-1.37883651705202e+94,5.167966279726127e+93
446,-2.2303170392503057e+94,8.359369011046679e+93
447,-3.607617026422706e+94,1.352157627981867e+94
448,-5.8354486740189234e+94,2.1871629886100974e+94
449,-9.439045491166077e+94,3.5378138167852754e+94
450,-1.526799133389374e+95,5.72253950319019e+94
451,-2.4696518264481454e+95,9.256410897091537e+94
452,-3.9947495453046015e+95,1.4972573391241703e+95
453,-6.461649273315648e+95,2.4218669249715153e+95
454,-1.0451947201650398e+96,3.917455769962702e+95
455,-1.6906395826406708e+96,6.336623846413264e+95
456,-2.734669572326286e+96,1.0249714133036791e+96
457,-4.423425162048094e+96,1.6579276655097593e+96
458,-7.155047308913274e+96,2.6817568845193213e+96
459,-1.1573543152040892e+97,4.337837010190383e+96
460,-1.872061711252288e+97,7.016605433400493e+96
461,-3.0281263090282226e+97,1.134960850128035e+97
462,-4.8981018565328444e+97,1.8358394861303693e+97
463,-7.922853721603757e+97,2.9695355733682036e+97
464,-1.2815497295183612e+98,4.803329260602373e+97
465,-2.0729522050245976e+98,7.769555681594173e+97
